id,names,categories,altCategories,websites,socials,phones,brand,street,city,postcode,state,country
08f265330e78330303de059082cc3628,Cotner Clothing Boutique (cc Boutique),women's_clothing_store,,"[""https://999peizi.com/app333""]","[""https://www.facebook.com/408669143303354""]","[""+14175011435""]",,1274 E Republic Rd,Springfield,65804-7209,MO,US
08f265330e382601036f35d74f29719a,Harem & Co,women's_clothing_store,,"[""http://www.shopharem.com""]","[""https://www.facebook.com/320878204650909""]","[""+14178810602""]",,1638 E Republic Rd,Springfield,65804-6509,MO,US
08f26533010ab20e031645ad342d396d,Altar'd State,women's_clothing_store,,"[""https://www.altardstate.com/""]","[""https://www.facebook.com/245354979363610""]","[""+14172812800""]","{""names"":{""common"":[{""value"":""Altar'd State"",""language"":""local""}],""official"":null,""alternate"":null,""short"":null},""wikidata"":null}",2825 S Glenstone Ave,Springfield,65804-3771,MO,US
08f26533010f60a9030693dff5d18863,francesca's,women's_clothing_store,,"[""https://www.francescas.com/""]","[""https://www.facebook.com/1415667162028258""]","[""+14174477159""]","{""names"":{""common"":[{""value"":""francesca's"",""language"":""local""}],""official"":null,""alternate"":null,""short"":null},""wikidata"":null}",2825 S Glenstone Ave,Springfield,65804-3771,MO,US
08f2653301152aac03c25c2b13dce000,Modern Society Apparel,women's_clothing_store,,"[""http://modernsocietyapparel.com""]","[""https://www.facebook.com/276479929045206""]","[""+14178310775""]",,2652 S Glenstone Ave,Springfield,65804-3712,MO,US
08f2653301152d28030ce17869fd4e3c,Apricot Lane Boutique,women's_clothing_store,,"[""https://apricotlaneboutique.com/store/springfield""]",,"[""4175011761""]",,2646 S Glenstone Ave,Springfield,65804,MO,US
08f265330560e89103c489e60dd50375,Harrison House Market,women's_clothing_store,,"[""https://harrisonhousemarket.com""]","[""https://www.facebook.com/103569095862635""]","[""+14173513122""]","{""names"":{""common"":[{""value"":""Harrison House Market"",""language"":""local""}],""official"":null,""alternate"":null,""short"":null},""wikidata"":null}",1717 E Cherokee St,Springfield,65804-2335,MO,US
08f26530e481c3b203f90527c04bcf98,Pretty in Pink Boutique,children's_clothing_store,,"[""https://www.etsy.com/shop/prettypinkboutique12?ref=si_shop""]","[""https://www.facebook.com/247946468664230""]","[""+14178608971""]",,609 E Wells St,Ash Grove,65604-9087,MO,US
08f26538c2c10b85035eea4e5c27273c,Village Boutique,women's_clothing_store,,"[""http://www.villageboutiquebolivar.com/""]","[""https://www.facebook.com/177524198962735""]","[""+14177777109""]",,860 E San Martin St,Bolivar,65613-2897,MO,US
08f26538c649e10403d4b0e0e57d1e72,Country Lace Boutique,women's_clothing_store,,"[""https://shopcountrylace417.com/""]","[""https://www.facebook.com/350414221809425""]","[""+14173265721""]",,809 S Albany Ave,Bolivar,65613-2405,MO,US
08f2653af189d150036325f2e42a26fc,513 Purses LLC,clothing_store,,"[""http://513purses.com""]","[""https://www.facebook.com/1504256449812586""]","[""+14172343825""]",,120 S Madison St,Strafford,65757-9408,MO,US
08f2653a1042c8c8039142d31730e7dc,Monroe House,women's_clothing_store,,"[""https://monroehouseboutique.com/""]","[""https://www.facebook.com/533260726843644""]","[""+14175672003""]",,67 S Main St,Fair Grove,65648-8597,MO,US
08f2653a759897850336eaafafdd9473,The Wild Honey Boutique,children's_clothing_store,,"[""http://thewildhoneyboutique.com""]","[""https://www.facebook.com/105885805212126""]","[""+14174688824""]",,1329 Spur Dr,Marshfield,65706-2311,MO,US
08f2653a7583065203921b6b00f40a8b,Southern Charmed Boutique,women's_clothing_store,,"[""http://www.southerncharmedboutique.com/""]","[""https://www.facebook.com/1596506223919010""]",,,1309 Spur Dr,Marshfield,65706-2311,MO,US
08f2653a660834560335acd30ba94a14,"Open the Dior - Marshfield, MO",women's_clothing_store,,"[""http://openthedior.com""]","[""https://www.facebook.com/486781465029821""]","[""+13146511141""]",,203 S Clay St,Marshfield,65706-2112,MO,US
08f2654a4418404c03a9ee805a0ce7d3,Coach Light,women's_clothing_store,,"[""http://www.coachlightgifts.com""]","[""https://www.facebook.com/105574307200""]","[""+16602632708""]",,500 W Reed St,Moberly,65270-1510,MO,US
08f2654a44112a8603dfb8d37375eea9,Encore Moberly,women's_clothing_store,,"[""http://www.encoremoberly.com""]","[""https://www.facebook.com/715224311854215""]","[""+16602632322""]",,317 W Reed St,Moberly,65270-1558,MO,US
08f264484a851a1b0350cb8804452173,Grey House Goods,women's_clothing_store,,"[""http://shopghg.com""]","[""https://www.facebook.com/281845575672737""]","[""+12174546213""]",,113 N Chestnut St,Assumption,62510-1003,IL,US
08f26448f375d701035f073d5ea56d11,Glik's,women's_clothing_store,,"[""https://www.gliks.com/?utm_source=yext&utm_medium=storelistings&utm_campaign=mainlink""]","[""https://www.facebook.com/236422316722366""]","[""+12177774545""]","{""names"":{""common"":[{""value"":""Glik's"",""language"":""local""}],""official"":null,""alternate"":null,""short"":null},""wikidata"":null}",107 E Bidwell St,Taylorville,62568-1359,IL,US
08f265d936162296034c3e04bab8bfc2,Shaunti Williams - Independent Matilda Jane Trunk Keeper #905,clothing_store,,"[""http://matildajaneclothing.com/shauntiwilliams""]","[""https://www.facebook.com/741145095984228""]","[""+15734212408""]",,14572 County Road 624,Dexter,63841-8789,MO,US
08f264206c16bd23030d8b1a06fe71ca,Lou Lou?s,women's_clothing_store,,"[""http://shopwithloulous.com""]","[""https://www.facebook.com/115578992339517""]","[""+15732108732""]",,212 E High St,Potosi,63664-1909,MO,US
08f2643db14367b503463b7d454457c6,Ophelia Farmington,women's_clothing_store,,"[""http://www.opheliaonline.com""]","[""https://www.facebook.com/203081946429389""]","[""+15739155141""]",,20 W Columbia St,Farmington,63640-1717,MO,US
08f265da2d5aadb30352c1a476fab062,Braggadocio Mercantile,clothing_store,,"[""http://braggadociomercantile.com/""]","[""https://www.facebook.com/769570353072878""]","[""+15733332603""]",,2812 State Highway Z,Steele,63877-8256,MO,US
08f264e499c89626032f619fe8319dde,Burlap & Lace,women's_clothing_store,,"[""https://m.facebook.com/groups/969499809748242""]","[""https://www.facebook.com/353666444775611""]","[""+15733799086""]",,120 E Main St,Portageville,63873-1612,MO,US
08f264e0f4a21543033e0b3490f5ee5e,Joann's,women's_clothing_store,,"[""http://www.joannspromandpageantgowns.com""]","[""https://www.facebook.com/110975045646491""]","[""+17314791771""]",,212 S 1st St,Union City,38261-3804,TN,US
08f2643359cc6adb03aee4494ebd6705,Leigh Anne's Loft,children's_clothing_store,,"[""http://www.leighannesline.com""]","[""https://www.facebook.com/227959424065246""]","[""+15734757272""]",,118 E Center St,Sikeston,63801-4108,MO,US
08f2643b8d06b7ac03b275604b6958bf,francesca's,women's_clothing_store,,"[""https://www.francescas.com/""]","[""https://www.facebook.com/767924746677649""]","[""+15733812288""]","{""names"":{""common"":[{""value"":""francesca's"",""language"":""local""}],""official"":null,""alternate"":null,""short"":null},""wikidata"":null}",3049 William St,Cape Girardeau,63703-6393,MO,US
